	Unnamed: 0	file	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	Gleason/Mother/andy.xml	49	4.073529411764706	578	69	35	0	74	67	26	0.20272435897435895	22	0	12	3	0	1	0	5	2	1	1	22	1803	211	86	1	235	228	136	7	3	2	62
1	1	Gleason/Mother/bobby.xml	50	3.5487804878048776	627	66	47	0	65	65	25	0.16478245974648853	31	0	11	2	4	0	1	3	0	2	4	8	2239	295	160	2	339	240	119	6	8	1	50
2	2	Gleason/Mother/charlie.xml	36	3.855670103092784	835	81	44	0	94	66	45	0.13687015503875968	28	0	20	3	1	0	0	8	0	3	1	17	3232	462	213	1	475	368	187	12	12	2	68
3	3	Gleason/Mother/david.xml	50	4.932142857142857	1367	204	87	0	178	131	62	0.1313031441566146	49	12	76	5	2	1	0	3	1	5	9	41	3556	435	223	1	472	397	246	22	10	2	144
4	4	Gleason/Mother/eddie.xml	51	4.315	868	103	72	1	119	109	49	0.12708333333333333	47	8	11	5	5	1	0	1	0	5	0	20	3792	432	168	0	530	459	222	21	14	3	81
5	5	Gleason/Mother/frank.xml	62	4.402684563758389	1293	177	98	0	178	148	63	0.14461223445098542	49	12	32	5	1	5	3	20	1	2	0	47	2483	293	142	0	343	291	141	36	16	4	122
6	6	Gleason/Mother/guy.xml	37	3.713636363636364	822	97	47	0	132	60	19	0.1565387846541585	41	3	24	0	0	0	0	0	0	2	1	26	2278	296	108	0	329	288	160	14	6	1	111
7	7	Gleason/Mother/helen.xml	59	4.735785953177258	1339	172	106	0	169	156	83	0.1245774987928537	75	5	27	13	1	6	1	0	0	4	1	39	2769	303	102	1	396	303	149	29	21	4	115
8	8	Gleason/Mother/isadora.xml	42	4.051724137931036	975	134	80	0	128	84	37	0.1351136964569011	52	3	33	2	0	0	0	19	0	4	0	21	2698	328	147	0	377	295	151	14	3	3	108
9	9	Gleason/Mother/john.xml	50	3.804195804195804	614	63	35	1	77	70	24	0.1652701531349321	30	0	9	0	0	1	1	2	0	0	1	19	2736	332	125	1	343	360	192	4	6	2	65
10	10	Gleason/Mother/katie.xml	38	3.622549019607843	801	61	37	0	100	86	40	0.16356247883508296	29	1	15	0	2	1	0	2	0	2	0	9	2030	315	113	1	273	214	73	11	11	2	76
11	11	Gleason/Mother/laurel.xml	35	3.591304347826087	449	46	33	0	53	37	22	0.1615908276603368	9	4	8	6	0	1	3	4	0	6	0	5	2287	283	143	0	349	257	165	17	2	2	32
12	12	Gleason/Mother/martin.xml	30	2.930817610062893	532	40	35	1	40	73	29	0.14450014744913006	30	0	0	3	0	0	1	0	0	1	0	5	2750	350	134	0	390	335	180	0	8	0	32
13	13	Gleason/Mother/nanette.xml	25	4.100840336134453	507	52	45	0	51	82	27	0.15543624161073827	33	6	5	3	0	1	0	0	0	2	0	2	3075	380	173	1	433	356	197	9	9	2	31
14	14	Gleason/Mother/olivia.xml	40	3.2628865979381443	680	63	35	0	69	57	21	0.14610479622955366	20	3	15	3	0	0	1	3	0	1	4	13	2760	298	162	0	377	339	193	7	3	0	59
15	15	Gleason/Mother/patricia.xml	29	3.9532374100719423	1120	83	52	0	148	125	60	0.12792335869258947	37	0	14	0	0	0	0	8	0	4	3	17	2364	311	71	1	353	254	139	4	7	3	134
16	16	Gleason/Mother/richard.xml	33	3.4790419161676644	626	46	21	0	74	66	49	0.14859310780904206	11	3	15	0	0	0	0	7	0	0	0	10	2412	231	94	0	353	297	227	2	3	0	69
17	17	Gleason/Mother/susan.xml	39	6.795580110497237	1222	157	65	1	135	94	34	0.1613359750919898	44	10	49	1	0	4	2	2	0	1	1	43	2234	265	142	0	295	256	107	19	13	4	99
18	18	Gleason/Mother/theresa.xml	48	5.512915129151292	1465	147	115	0	158	156	98	0.15093360995850622	32	2	14	28	3	26	6	3	0	12	3	18	2258	279	148	0	311	262	118	53	44	3	58
19	19	Gleason/Mother/ursula.xml	44	5.888086642599277	1643	198	97	0	211	188	79	0.15113659635469998	64	10	70	4	0	2	0	15	0	1	1	31	3145	361	194	0	385	364	165	34	15	11	151
20	20	Gleason/Mother/victor.xml	28	4.39068100358423	1309	124	54	0	139	100	76	0.15576923076923074	40	4	40	4	1	0	0	1	0	3	1	30	1760	208	98	0	238	210	116	14	14	8	103
21	21	Gleason/Mother/wanda.xml	48	3.6564885496183206	507	48	29	0	58	54	19	0.15336658354114713	16	0	9	4	0	2	0	5	0	2	0	10	3446	344	143	1	432	497	263	12	8	4	34
22	22	Gleason/Mother/william.xml	27	4.357664233576642	684	36	25	0	68	78	38	0.181071568244036	18	2	3	0	0	0	0	3	0	0	2	8	1707	177	71	0	242	208	123	10	6	1	51
23	23	Gleason/Mother/xavia.xml	48	6.561181434599156	1538	183	116	0	210	168	96	0.1808350856112947	63	5	54	5	1	17	3	12	0	6	4	13	1679	182	92	1	204	242	117	30	17	4	159
