,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
0,0,HSLLD/HV1/ace,43,2.880952381,123,10,7,0,10,35,11,0.281028369,2,0,0,2,2,0,0,0,0,1,0,3,930,78,58,0,102,172,79,3,1,0,6
1,1,HSLLD/HV1/ace,43,3,3,1,1,0,1,0,0,0.462365591,1,0,0,0,0,0,0,0,0,0,0,0,85,15,4,0,16,8,7,0,0,0,1
2,2,HSLLD/HV1/ace,43,2,2,0,0,0,0,2,0,0.704081633,0,0,0,0,0,0,0,0,0,0,0,0,37,8,5,0,4,4,1,0,0,0,0
3,3,HSLLD/HV1/adm,49,6.018867925,309,31,24,0,33,43,9,0.307849134,12,0,5,10,0,0,0,0,0,1,1,2,667,55,37,0,68,144,36,5,3,1,24
4,4,HSLLD/HV1/adm,49,5,115,20,20,0,17,19,8,0.323671498,17,0,0,0,1,1,0,0,0,0,1,0,247,38,10,0,44,26,20,3,2,0,12
5,5,HSLLD/HV1/adm,49,4.456521739,214,14,12,0,25,30,13,0.260869565,11,1,2,0,0,0,0,0,0,0,0,0,399,58,20,0,55,44,19,6,3,0,16
6,6,HSLLD/HV1/adm,49,4.598039216,474,63,50,0,73,45,16,0.258536585,35,0,7,0,0,0,0,4,0,9,2,6,462,68,29,0,86,45,22,6,3,0,64
7,7,HSLLD/HV1/aim,47,3.413333333,280,23,20,0,26,54,17,0.284367636,15,0,0,1,1,0,3,0,0,0,0,3,911,82,44,0,90,174,72,2,3,0,21
8,8,HSLLD/HV1/aim,47,6.769230769,75,7,6,0,9,4,2,0.375796178,1,0,1,0,0,0,0,5,0,0,0,0,77,15,5,0,13,6,2,9,7,1,-8
9,9,HSLLD/HV1/aim,46,4.599118943,1162,149,73,0,139,142,33,0.178675755,37,9,60,4,1,0,0,11,11,0,0,16,527,55,17,0,90,69,12,18,31,3,87
10,10,HSLLD/HV1/aim,47,4.275862069,922,97,40,0,124,95,25,0.156880323,31,4,25,2,3,0,0,0,0,0,0,32,982,120,48,0,156,96,29,17,12,1,94
11,11,HSLLD/HV1/ali,46,3.649635036,463,25,22,1,49,125,60,0.209039548,6,2,0,13,1,0,0,0,0,0,0,3,859,82,53,0,75,133,54,9,15,1,24
12,12,HSLLD/HV1/ali,57,5.066666667,70,15,12,0,10,10,6,0.399122807,10,0,0,0,0,0,0,1,0,1,0,3,157,27,7,0,31,14,6,6,0,0,4
13,13,HSLLD/HV1/ali,46,5.936842105,548,80,54,0,85,34,18,0.218218899,31,10,20,5,4,1,0,2,0,1,0,6,418,64,28,0,59,38,18,26,9,3,47
14,14,HSLLD/HV1/ali,46,3.388888889,274,25,17,1,45,16,4,0.210099188,8,9,5,0,0,0,0,0,0,0,0,3,579,61,17,0,88,43,19,3,3,1,38
15,15,HSLLD/HV1/all,43,4.75,75,6,5,0,15,8,5,0.382677165,3,2,0,0,0,0,0,0,0,0,0,1,397,27,24,0,43,98,34,0,4,0,11
16,16,HSLLD/HV1/all,43,5.333333333,31,7,7,0,7,2,2,0.535714286,6,1,0,0,0,0,0,0,0,0,0,0,40,4,1,0,9,2,3,3,1,0,3
17,17,HSLLD/HV1/all,43,3.8125,501,47,25,0,63,78,19,0.24652568,20,1,6,0,0,3,1,0,0,0,0,16,277,41,19,0,43,35,3,25,11,7,20
18,18,HSLLD/HV1/all,43,3.59375,477,22,13,0,60,39,23,0.210912052,7,2,6,0,0,0,0,1,1,1,1,3,519,57,9,0,70,41,20,6,10,1,43
19,19,HSLLD/HV1/ana,50,3.276595745,347,38,33,1,31,48,10,0.152968037,8,5,1,19,1,0,0,0,0,0,0,4,1844,205,148,0,221,263,107,3,0,0,28
20,20,HSLLD/HV1/ana,50,4.222222222,43,6,6,1,7,3,1,0.509677419,3,1,0,0,0,0,0,2,0,0,0,0,112,21,6,0,19,10,5,3,0,0,4
