	Unnamed: 0	file	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	NewEngland/32/01.xml	32	3.639344262295082	220	13	9	0	24	27	17	0.247546346782988	3	2	2	2	0	1	0	1	0	0	0	2	695	75	35	0	93	83	48	2	3	0	19
1	1	NewEngland/32/02.xml	32	2.293233082706767	330	26	18	0	33	73	15	0.2481985588470777	17	0	3	1	0	0	0	0	0	0	0	5	918	84	42	0	96	118	46	6	4	3	20
2	2	NewEngland/32/03.xml	32	2.729032258064516	425	43	32	0	44	58	27	0.2814070351758794	12	5	6	5	2	1	0	0	0	6	1	5	568	56	30	0	65	61	38	6	2	1	35
3	3	NewEngland/32/04.xml	30	2.4729729729729732	215	13	10	0	20	29	13	0.23135593220338985	1	0	1	1	0	0	0	2	0	6	0	2	964	94	38	0	119	111	51	8	4	4	4
4	4	NewEngland/32/06.xml	32	3.4831460674157304	310	32	19	0	38	48	14	0.270544783010157	7	1	4	3	1	0	1	4	0	2	0	9	771	94	54	0	94	116	51	5	4	1	28
5	5	NewEngland/32/10.xml	31	2.953488372093023	382	31	20	0	42	64	31	0.2132409545804465	8	1	9	2	0	2	1	1	0	5	0	2	914	119	76	1	113	89	45	1	10	0	31
6	6	NewEngland/32/13.xml	32	3.421686746987952	327	22	18	0	37	43	14	0.2048894062863795	11	0	1	1	0	0	1	5	0	0	0	3	1387	149	60	0	183	155	91	1	8	0	28
7	7	NewEngland/32/16.xml	32	4.046979865771812	620	75	46	0	73	93	33	0.22299168975069253	17	5	24	11	3	0	0	4	0	3	3	5	822	94	43	1	100	101	36	6	2	0	65
8	8	NewEngland/32/19.xml	32	3.6170212765957452	353	54	40	0	48	43	22	0.19824175824175824	26	3	6	3	1	0	0	2	1	2	2	8	1921	206	92	0	264	270	143	4	5	0	39
9	9	NewEngland/32/23.xml	31	3.5	525	49	27	0	40	96	43	0.2156185210780926	6	5	13	8	1	0	0	1	0	1	5	9	921	85	32	0	111	127	64	6	7	0	27
