,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
0,0,Valian/01,25,2.023346304,571,14,2,0,20,205,4,0.173189009,1,0,0,1,0,0,0,0,0,0,0,12,2708,236,115,0,275,476,231,1,3,1,15
1,1,Valian/01,25,1.996610169,720,8,2,0,39,213,15,0.166628571,2,0,3,0,0,0,0,0,0,0,0,3,3073,297,122,0,332,508,225,6,9,1,23
2,2,Valian/02,22,2.726804124,632,44,25,0,59,80,47,0.159474672,8,2,3,12,1,0,0,0,0,0,2,16,1871,213,69,0,254,241,128,9,13,2,35
3,3,Valian/02,22,2.5234375,1132,59,39,0,97,193,94,0.13204155,20,0,4,12,1,0,0,1,0,2,3,16,3570,397,134,0,443,502,238,21,21,5,50
4,4,Valian/03,26,1.736625514,542,19,10,0,55,143,8,0.175675676,10,0,2,0,0,0,0,0,0,0,0,7,1261,104,34,0,146,162,60,3,4,1,47
5,5,Valian/03,26,2.130872483,750,44,34,0,90,116,27,0.132606721,10,15,1,6,0,0,0,2,0,1,0,9,2961,306,106,0,414,374,174,12,11,3,64
6,6,Valian/04,22,2.56284153,541,35,25,0,62,154,11,0.165017462,24,0,1,0,0,0,0,0,0,0,1,9,2708,296,167,1,333,504,231,4,1,1,56
7,7,Valian/04,22,2.331983806,678,14,5,0,46,175,16,0.178313253,4,0,1,0,0,0,0,1,0,0,0,8,2697,281,128,1,295,420,152,12,6,3,25
8,8,Valian/04,22,3.200598802,1226,134,99,1,154,222,28,0.140410959,82,3,0,2,8,0,0,3,0,0,1,35,2447,318,81,0,299,374,140,9,16,2,127
9,9,Valian/05,26,2.481268012,992,75,46,0,100,157,58,0.120463818,35,2,6,1,2,0,2,1,0,0,3,23,3236,409,163,0,455,368,185,14,5,1,80
10,10,Valian/06,27,2.424,336,45,28,1,36,44,25,0.217167382,21,1,3,3,0,1,2,0,0,0,0,14,1529,173,71,0,147,172,71,1,7,0,28
11,11,Valian/06,27,2.670886076,706,81,50,0,97,124,48,0.158389963,42,1,15,4,2,0,1,0,0,0,0,16,2474,327,120,0,323,308,122,26,6,0,65
12,12,Valian/07,28,2.871727749,1268,121,111,4,188,182,20,0.142620232,75,11,0,12,7,0,0,3,0,3,0,10,2631,345,161,0,312,297,133,24,18,9,137
13,13,Valian/08,31,2.940860215,645,65,29,0,67,93,39,0.16013986,23,4,7,1,0,0,0,1,0,0,0,29,1887,200,64,0,189,315,164,6,11,1,49
14,14,Valian/08,31,3.826732673,1727,185,95,5,206,267,128,0.125249424,67,8,14,1,2,5,0,7,0,5,0,76,4442,532,206,0,489,668,346,38,19,5,144
15,15,Valian/09,32,2.98816568,501,42,24,1,61,100,15,0.141414141,17,3,8,0,0,0,0,0,0,2,2,10,3178,402,183,0,400,410,165,6,10,2,43
