	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	48	4.091216216216216	1280	44	22	2	151	262	73	0.14247811090474927	5	3	9	7	0	5	0	0	0	2	0	13	2488	278	153	7	275	321	185	13	25	2	111
1	1	48	3.4111498257839723	1186	36	18	0	97	202	64	0.1479573058520427	3	3	2	9	1	1	0	0	0	1	0	16	1531	147	66	0	151	232	139	13	17	7	60
2	2	49	3.4791666666666665	1475	49	26	1	95	261	79	0.14444738934534854	7	4	10	4	0	3	1	1	0	6	0	13	1274	155	101	10	147	190	85	18	8	3	66
3	3	49	3.9953488372093022	1815	97	39	1	157	331	122	0.1382091960204356	7	2	20	16	3	7	0	1	0	2	1	38	1857	219	95	6	173	265	162	21	22	8	106
4	4	50	4.290756302521008	2748	137	75	0	346	442	220	0.10361944157187176	25	10	15	21	1	2	3	5	0	8	0	47	1666	184	92	1	192	251	132	55	42	28	221
5	5	50	3.8832487309644668	1638	111	70	1	174	232	83	0.14716728126047604	28	8	14	24	0	1	1	3	0	2	3	27	1154	152	58	3	132	143	85	38	18	9	109
6	6	51	3.3925081433224755	2193	144	65	3	262	387	97	0.12226103524928547	22	5	33	26	2	0	0	8	1	1	0	46	768	101	56	3	90	82	44	38	38	17	169
7	7	51	4.3169398907103815	1679	126	65	1	201	163	84	0.14014598540145987	24	10	18	11	6	5	5	1	0	3	0	43	866	105	50	4	98	96	50	44	45	22	90
8	8	52	3.4580645161290318	1116	61	41	3	127	161	49	0.16641279512566642	20	11	6	1	3	1	0	3	1	0	1	14	1258	151	62	3	123	145	64	24	30	15	58
9	9	53	3.616	1901	160	87	0	281	259	81	0.12728361784965558	28	13	35	13	5	7	0	14	0	6	1	38	861	126	51	3	112	81	48	48	77	16	140
10	10	54	4.080428954423592	1709	160	71	0	226	177	63	0.13830113462128182	28	5	44	7	0	15	2	2	0	1	11	45	822	121	39	1	111	83	23	48	37	21	120
11	11	56	4.681286549707601	1618	149	97	3	211	197	111	0.13179190751445086	32	7	19	10	1	15	1	18	1	9	3	33	1155	123	55	0	137	134	75	47	34	13	117
12	12	57	5.197333333333333	1914	155	105	1	214	235	107	0.13474979032708975	33	12	23	10	1	20	3	2	0	17	7	27	843	84	30	1	101	107	42	54	51	20	89
13	13	57	4.935933147632311	1803	130	76	0	219	290	99	0.1416976665539398	30	6	30	5	4	3	0	20	0	5	3	24	727	67	27	1	77	74	29	34	47	15	123
14	14	57	4.457746478873238	1294	120	80	0	169	212	77	0.1624790619765494	36	4	23	5	3	8	1	11	0	6	6	17	746	95	44	2	89	94	36	36	22	14	97
15	15	57	4.8397626112759635	1640	134	79	0	220	200	124	0.12564366632337795	42	0	3	4	0	6	1	16	0	4	6	52	249	45	8	0	33	22	13	67	56	27	70
16	16	59	4.3482352941176465	1841	187	97	0	215	270	120	0.12454296160877515	59	5	15	10	2	5	2	3	0	6	5	75	923	118	39	2	87	112	45	63	34	19	99
17	17	59	4.610526315789474	2140	203	148	2	254	256	140	0.11013986013986014	41	6	18	6	1	35	10	11	0	34	4	37	129	21	6	1	18	10	6	90	64	32	68
18	18	59	4.853309481216458	2752	293	204	3	348	412	186	0.1041004909038406	82	7	48	5	5	54	5	12	0	28	6	41	0	0	0	0	0	0	0	54	58	24	212
19	19	60	4.7259887005649714	1764	170	84	0	172	261	127	0.1082012405237767	18	4	49	3	0	40	2	5	0	11	1	37	0	0	0	0	0	0	0	64	58	40	10
20	20	60	5.655228758169935	3419	363	276	2	495	451	227	0.08836917281431486	90	4	43	25	11	76	12	30	0	21	7	44	13	2	2	0	4	0	0	89	94	46	266
21	21	61	5.566355140186917	2891	278	209	1	378	488	161	0.10514865844815084	120	4	48	13	3	13	3	23	0	23	7	21	72	8	2	0	9	5	1	81	79	42	176
