	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	37	2.3684210526315788	49	0	0	0	2	20	0	0.5178571428571429	0	0	0	0	0	0	0	0	0	0	0	0	63	4	3	0	2	8	4	1	0	0	1
1	1	40	3.36	88	6	2	0	10	21	0	0.3625	1	0	2	1	0	0	0	0	0	0	0	2	232	25	15	0	38	38	12	1	0	0	9
2	2	46	2.413793103448276	86	0	0	0	12	11	0	0.292	0	0	0	0	0	0	0	0	0	0	0	0	164	11	3	0	13	23	7	3	0	0	9
3	3	46	2.227272727272727	57	0	0	0	2	20	1	0.5084745762711864	0	0	0	0	0	0	0	0	0	0	0	0	120	12	7	0	16	21	3	0	0	0	2
4	4	46	2.5	67	1	1	1	1	26	0	0.4081632653061225	0	1	0	0	0	0	0	0	0	0	0	0	129	12	3	0	11	21	4	0	0	0	1
5	5	48	2.294117647058824	44	1	0	0	3	6	0	0.527027027027027	0	0	0	0	0	0	0	0	0	0	0	1	104	18	9	0	14	9	1	0	0	0	3
6	6	51	2.955555555555556	149	3	2	0	13	35	1	0.3314447592067989	1	1	1	0	0	0	0	0	0	0	0	0	204	29	16	0	29	31	9	2	0	0	11
7	7	51	2.7586206896551726	100	7	7	2	13	16	0	0.3942028985507247	4	3	0	0	0	0	0	0	0	0	0	0	245	32	10	0	44	34	19	1	0	0	12
8	8	52	3.7428571428571433	128	12	7	2	12	30	2	0.35526315789473684	1	6	1	0	0	0	0	0	0	0	0	4	328	47	21	0	38	43	18	4	0	0	8
9	9	52	3.5882352941176467	125	6	4	2	21	34	1	0.38028169014084506	1	3	1	0	0	0	0	0	0	0	0	1	301	26	16	0	37	43	9	1	1	0	19
10	10	52	3.6666666666666665	45	2	1	1	7	14	0	0.4726027397260274	0	1	0	0	0	0	0	0	0	0	0	1	101	11	3	0	9	13	8	2	2	1	2
11	11	52	3.64	89	2	2	2	13	29	0	0.4727272727272727	0	2	0	0	0	0	0	0	0	0	0	0	131	13	3	0	15	16	6	1	1	0	11
12	12	52	4.571428571428571	63	8	1	1	9	15	2	0.37681159420289856	0	1	0	0	0	0	0	0	0	0	0	7	144	21	12	0	19	15	6	0	1	0	8
13	13	52	4.7368421052631575	89	1	0	0	5	32	3	0.3694267515923567	0	0	0	0	0	0	0	0	0	0	0	1	225	37	16	0	32	32	10	0	0	0	5
14	14	57	3.9565217391304346	81	9	6	4	12	15	0	0.4777070063694268	0	5	0	0	0	0	0	1	0	0	0	3	76	11	5	0	11	8	7	2	2	0	8
15	15	57	7.434782608695652	165	10	7	2	26	31	2	0.4485294117647059	0	5	0	0	0	0	0	2	0	0	0	3	107	13	2	0	14	17	7	5	6	1	14
16	16	57	4.666666666666667	114	12	8	4	17	24	0	0.4274509803921568	0	7	1	0	0	0	0	1	0	0	0	3	141	20	8	0	21	14	7	1	3	0	13
17	17	57	3.0	32	0	0	0	3	8	1	0.3686635944700461	0	0	0	0	0	0	0	0	0	0	0	0	185	30	2	0	35	21	8	0	0	0	3
