	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	31	0.0	2	0	0	0	0	0	0	0.2850877192982456	0	0	0	0	0	0	0	0	0	0	0	0	454	40	16	0	47	105	24	0	0	0	0
1	1	31	1.2	79	0	0	0	0	6	0	0.1400048111618956	0	0	0	0	0	0	0	0	0	0	0	0	4077	432	184	5	430	640	227	0	0	0	0
2	2	32	1.5257731958762886	252	2	2	0	3	46	0	0.11810089020771515	0	2	0	0	0	0	0	0	0	0	0	0	4803	495	200	7	484	760	259	1	1	1	0
3	3	32	1.7777777777777777	248	0	0	0	5	33	1	0.16527709661598822	0	0	0	0	0	0	0	0	0	0	0	0	3730	360	193	7	376	596	180	0	1	0	4
4	4	33	1.7940199335548173	719	19	17	0	34	199	26	0.13175154320987653	11	5	1	0	0	0	0	0	0	0	1	1	4458	480	188	5	497	546	212	5	9	2	18
5	5	35	2.195804195804196	866	10	9	0	19	220	81	0.10900152568231904	3	2	0	1	0	3	0	0	0	0	0	1	5033	529	360	18	542	655	321	11	14	10	-16
6	6	35	2.7104247104247103	900	9	8	0	33	207	74	0.13096374045801526	5	1	0	0	0	0	0	0	0	2	0	1	3292	336	251	14	325	504	197	14	6	6	7
7	7	36	2.8220551378446115	1442	11	9	0	30	283	68	0.1217202604063918	2	6	0	1	0	0	0	0	0	0	0	2	3625	466	270	10	399	450	228	1	10	0	19
8	8	37	2.723926380368098	1107	13	8	0	39	241	50	0.1437853699434081	3	4	1	0	0	0	0	0	0	1	0	4	3608	403	222	9	334	479	192	14	10	5	10
9	9	38	2.900537634408602	1428	33	24	0	103	234	35	0.11062906724511933	6	12	2	2	3	0	0	0	0	1	0	7	4443	558	370	10	478	526	204	6	24	3	70
10	10	39	3.0482954545454546	1280	27	13	0	62	235	76	0.13852973771702992	2	7	10	0	2	0	1	0	0	1	0	4	4032	412	242	7	401	551	302	3	7	1	51
11	11	39	2.452513966480447	592	22	13	5	43	98	37	0.13271028037383178	2	9	1	0	0	0	0	1	0	1	0	8	3003	410	190	7	364	322	174	7	5	2	29
12	12	40	2.646276595744681	1267	83	39	0	124	212	98	0.10656934306569343	24	7	29	4	4	0	0	0	0	0	0	15	4794	620	374	19	544	540	267	19	16	5	84
13	13	41	3.037037037037037	1051	67	46	1	112	153	61	0.12399193548387095	17	7	7	6	0	0	3	0	0	2	11	14	3749	451	240	6	432	404	194	18	16	7	71
14	14	42	2.8724832214765095	1036	100	70	4	114	110	51	0.12489063867016625	20	16	17	10	2	0	0	5	0	2	15	13	3466	465	203	2	419	290	141	16	19	3	76
15	15	42	3.246696035242291	851	60	44	6	76	137	60	0.12318563789152025	16	13	8	3	3	1	0	2	0	3	3	8	4365	568	341	16	486	385	203	20	12	5	39
16	16	43	3.3211382113821135	890	86	62	11	86	94	48	0.13787638668779714	13	19	4	7	4	0	5	2	0	0	12	20	2784	390	226	13	282	239	111	12	10	2	62
17	17	44	3.77461139896373	1575	138	107	15	188	173	83	0.10720240080026676	16	26	12	13	4	0	0	3	0	16	29	19	4321	540	327	9	477	416	220	45	45	8	90
18	18	44	3.2213438735177866	919	71	47	3	86	129	72	0.1389983117613956	13	10	12	8	5	1	4	1	1	1	3	12	2536	287	142	8	263	267	194	19	22	9	36
19	19	45	4.144230769230768	1933	181	137	35	252	181	91	0.1102439024390244	43	53	9	10	10	0	0	2	0	3	16	35	3935	509	252	11	484	346	208	76	52	21	103
20	20	46	4.185770750988143	1186	138	103	18	150	121	53	0.12694974003466206	8	16	4	10	32	0	1	2	0	3	31	31	2894	368	218	10	321	299	154	33	34	12	71
21	21	46	3.565714285714286	695	91	65	2	78	104	25	0.15573989831415574	35	8	6	3	14	0	1	2	0	0	2	20	2861	351	151	10	303	293	118	12	15	6	45
22	22	48	4.407744874715261	1998	253	171	11	312	234	112	0.11645036829182745	74	13	22	7	34	0	12	5	0	3	23	60	3649	455	248	11	394	360	168	47	96	27	142
