	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	32	1.368421052631579	31	0	0	0	0	20	0	0.21904761904761905	0	0	0	0	0	0	0	0	0	0	0	0	179	8	5	0	25	55	5	0	0	0	0
1	1	33	1.7142857142857142	33	0	0	0	6	20	0	0.5102040816326531	0	0	0	0	0	0	0	0	0	0	0	0	65	4	2	0	9	11	3	2	0	0	4
2	2	33	1.8461538461538465	30	0	0	0	9	13	0	0.22393822393822396	0	0	0	0	0	0	0	0	0	0	0	0	229	10	6	0	55	67	2	1	0	1	7
3	3	33	1.391304347826087	79	0	0	0	1	42	0	0.3723776223776224	0	0	0	0	0	0	0	0	0	0	0	0	493	63	38	0	55	88	28	0	0	0	1
4	4	35	2.0681818181818183	102	0	0	0	13	50	0	0.32441471571906355	0	0	0	0	0	0	0	0	0	0	0	0	197	7	4	0	26	57	29	1	0	0	12
5	5	35	2.147058823529412	80	0	0	0	12	36	1	0.3220858895705521	0	0	0	0	0	0	0	0	0	0	0	0	246	22	6	0	41	49	21	1	0	0	11
6	6	36	2.1538461538461537	101	0	0	0	15	43	0	0.2928994082840237	0	0	0	0	0	0	0	0	0	0	0	0	237	21	10	0	31	53	26	0	0	0	15
7	7	36	3.2666666666666666	148	10	3	0	13	37	18	0.3520408163265306	0	0	3	1	2	0	0	0	0	0	0	4	244	18	10	0	25	60	26	0	0	0	13
8	8	36	2.45945945945946	98	1	0	0	15	35	0	0.3801452784503632	0	0	0	0	0	0	0	0	0	0	0	1	315	29	19	0	49	45	24	0	0	0	15
9	9	37	2.0	106	14	0	0	21	36	0	0.3471337579617834	0	0	0	0	0	0	0	0	0	0	0	14	208	23	14	0	33	41	24	2	0	2	17
10	10	41	2.16	50	2	0	0	13	14	0	0.4588235294117647	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	9
11	11	41	2.962962962962963	68	2	0	0	8	26	0	0.39737991266375533	0	0	0	0	0	0	0	0	0	0	0	2	161	5	3	0	14	46	6	2	0	0	6
12	12	41	2.740740740740741	71	1	0	0	12	27	1	0.3719512195121951	0	0	0	0	0	0	0	0	0	0	0	1	93	3	3	0	12	34	4	1	0	0	11
13	13	41	2.703703703703704	66	6	5	0	17	17	0	0.42	5	0	0	0	0	0	0	0	0	0	0	1	34	7	5	0	5	5	0	0	0	0	17
