	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	54	5.0	133	21	19	0	19	15	1	0.3734177215189873	7	0	1	4	1	0	0	2	0	0	5	1	341	39	24	0	45	29	16	6	0	0	13
1	1	54	4.16	96	9	8	0	13	3	1	0.29497568881685576	2	0	1	2	0	0	0	1	0	0	3	0	521	82	59	1	93	42	26	4	0	0	9
2	2	54	5.238095238095238	94	13	10	0	15	12	3	0.4158163265306121	4	1	2	3	2	0	0	0	0	0	0	1	298	23	18	0	35	45	28	2	0	2	11
3	3	54	6.7727272727272725	143	17	15	0	23	17	2	0.3362255965292842	7	2	1	4	1	0	0	1	0	0	0	1	318	44	27	0	50	26	10	0	0	0	23
4	4	46	1.5	16	1	0	0	1	2	0	0.3889845094664372	0	0	1	0	0	0	0	0	0	0	0	0	565	85	29	1	90	63	15	0	0	0	1
5	5	46	1.3333333333333333	22	0	0	0	0	4	1	0.4881516587677725	0	0	0	0	0	0	0	0	0	0	0	0	189	23	12	0	22	26	22	0	0	0	0
6	6	46	1.375	17	0	0	0	0	2	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	115	12	5	0	10	14	3	0	0	0	0
7	7	47	2.0	6	0	0	0	0	2	0	0.5740740740740741	0	0	0	0	0	0	0	0	0	0	0	0	102	16	3	1	16	8	3	0	0	0	0
8	8	47	2.571428571428572	22	3	3	0	4	2	1	0.4647887323943662	3	0	0	0	0	0	0	0	0	0	0	0	120	11	4	0	10	11	7	1	0	0	3
9	9	47	1.0	17	1	0	0	0	0	0	0.4824561403508772	0	0	1	0	0	0	0	0	0	0	0	0	211	37	11	0	32	26	8	0	0	0	0
