	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	41	2.7210884353741496	950	37	25	4	88	126	8	0.1030229746070133	12	11	9	0	0	0	0	0	0	1	1	3	3178	417	110	2	438	289	143	5	9	3	71
1	1	41	2.781609195402299	866	48	24	5	71	80	3	0.1186161449752883	6	17	21	0	0	0	0	0	0	1	0	3	2776	377	92	4	351	234	87	3	2	0	66
2	2	42	2.9768976897689767	1094	65	50	17	100	147	9	0.11820233942130105	20	29	15	0	0	0	0	0	0	0	1	0	3779	474	112	6	462	463	165	9	6	3	82
3	3	43	2.7403508771929825	983	54	36	20	108	118	4	0.09428467419002548	8	23	8	2	0	0	0	0	0	1	2	10	4413	574	218	8	575	442	259	8	10	6	84
4	4	43	3.255255255255255	1261	66	31	18	178	220	10	0.09684560044272277	1	26	15	0	0	0	0	0	0	4	0	20	4147	469	180	6	504	582	323	10	47	8	113
5	5	44	3.3924528301886787	998	82	38	18	104	131	7	0.13123359580052493	2	26	26	0	0	0	2	0	0	0	8	18	2772	307	112	5	344	336	140	14	13	2	75
6	6	44	3.2259887005649714	643	35	15	5	83	82	6	0.12775482093663912	6	8	12	0	0	0	0	0	0	0	1	8	2261	270	103	6	283	250	120	13	12	2	56
7	7	45	3.0194174757281558	1071	55	37	7	125	123	14	0.1088218767559468	11	13	5	1	1	0	0	0	0	4	7	13	4268	547	182	14	572	401	220	10	19	5	91
8	8	45	3.9	683	46	17	0	134	103	17	0.12566328991799325	1	1	17	0	0	0	0	1	1	0	13	12	3463	478	233	2	485	412	209	11	21	7	95
9	9	45	3.3742331288343568	661	57	30	8	82	89	12	0.12793458190451068	6	18	13	0	1	0	0	0	0	0	5	14	3020	452	144	1	427	306	138	7	13	3	59
10	10	46	4.1671732522796345	1467	105	67	7	206	213	47	0.1015751211631664	28	20	15	1	1	0	0	4	0	4	9	23	3485	457	149	9	461	379	220	26	32	6	142
11	11	47	4.1236749116607765	1269	75	33	2	153	183	40	0.11655502392344498	17	9	16	0	0	0	1	5	0	0	1	26	3949	543	236	11	510	449	216	17	19	6	111
12	12	47	4.064814814814815	1400	95	49	2	158	171	41	0.10842911877394636	19	14	22	3	1	0	0	2	0	2	8	24	3820	519	163	5	472	332	181	12	29	4	113
13	13	47	5.5647482014388485	1460	86	48	2	198	159	41	0.12267080745341614	36	5	19	0	0	0	1	1	0	1	4	19	2388	297	116	7	287	223	129	27	48	12	111
14	14	48	4.956692913385827	1237	82	41	2	150	139	24	0.15391705069124426	15	12	25	1	2	0	0	4	0	0	7	16	2018	256	74	0	255	210	82	29	18	4	99
15	15	49	4.989473684210528	1489	109	52	2	194	169	49	0.13038722380223147	26	10	28	4	2	0	2	4	0	1	3	29	3073	463	156	2	353	301	127	29	31	8	126
16	16	49	5.6923076923076925	1055	65	35	1	153	130	32	0.16478555304740405	14	2	11	0	2	0	0	3	1	3	10	19	1135	171	53	1	145	98	57	20	59	6	68
17	17	49	3.6303030303030304	619	50	22	0	91	94	14	0.1591160220994475	15	2	8	1	0	0	0	0	0	0	4	20	2070	303	108	4	262	182	88	11	23	4	53
18	18	51	4.36	714	45	39	0	76	94	22	0.1627151672620981	23	0	2	6	2	0	0	5	0	0	3	4	2355	334	111	6	289	262	93	26	15	6	29
19	19	51	5.307228915662652	877	64	36	2	132	91	28	0.15701970443349753	23	1	6	0	3	0	3	5	0	0	1	22	2013	261	109	3	248	256	127	15	30	9	78
20	20	52	3.7222222222222223	714	74	45	1	91	65	21	0.13839716768587065	25	1	14	2	0	0	1	8	0	2	6	15	2290	318	125	8	317	169	73	17	16	5	53
21	21	52	5.896	729	43	31	1	98	98	37	0.17834394904458598	7	4	4	3	1	1	0	13	0	0	2	8	1464	201	74	5	197	132	84	28	16	8	46
22	22	53	3.668224299065421	782	39	20	1	104	172	26	0.15884718498659514	7	1	1	2	1	0	0	6	1	0	2	18	1905	202	57	5	236	205	73	23	17	7	57
23	23	53	4.989189189189188	919	70	42	1	150	89	49	0.14650145772594753	28	3	15	2	1	0	0	0	0	6	2	13	1800	217	68	5	261	177	98	20	35	9	86
24	24	53	4.1858407079646005	503	63	37	3	75	52	16	0.1765492643780651	22	6	13	5	2	0	0	0	0	0	2	13	1740	243	119	2	239	148	75	17	14	4	40
25	25	55	4.949720670391061	904	76	65	0	112	127	46	0.1507321274763135	40	1	5	4	2	0	1	2	0	2	13	6	2481	351	161	3	320	225	101	18	27	4	63
26	26	56	3.4425287356321834	615	77	50	3	85	74	29	0.15055695292849444	27	9	15	4	0	0	0	3	0	3	4	12	2147	259	108	6	242	208	101	33	13	4	35
27	27	56	5.3609467455621305	885	57	44	3	117	131	36	0.1581838154522153	28	4	3	0	2	0	0	5	0	0	5	10	1835	207	61	0	221	216	89	23	40	11	43
28	28	57	4.929347826086956	885	74	53	0	117	92	38	0.181981981981982	15	2	6	6	0	0	0	10	0	5	15	15	2427	277	130	3	243	307	131	20	34	8	55
