	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	32	1.0	8	0	0	0	10	14	5	0.484375	0	0	0	0	0	0	0	0	0	0	0	0	56	1	0	0	0	0	0	0	0	0	10
1	1	32	1.0	19	0	0	0	0	0	0	0.5802469135802469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	5	0	0	0	0
2	2	32	1.1904761904761905	34	0	0	0	26	12	2	0.35714285714285715	0	0	0	0	0	0	0	0	0	0	0	0	148	31	18	0	0	0	0	0	0	0	26
3	3	33	1.4705882352941178	62	0	0	0	34	33	11	0.3614035087719297	0	0	0	0	0	0	0	0	0	0	0	0	223	24	12	0	0	0	0	1	0	1	32
4	4	37	1.9310344827586208	63	0	0	0	39	42	12	0.3351206434316354	0	0	0	0	0	0	0	0	0	0	0	0	310	33	18	0	0	0	0	1	0	1	37
5	5	37	1.85	54	1	1	0	26	32	16	0.3817567567567568	0	1	0	0	0	0	0	0	0	0	0	0	242	21	11	1	0	0	0	0	0	0	26
6	6	37	2.75	56	1	1	0	28	24	13	0.35211267605633795	0	1	0	0	0	0	0	0	0	0	0	0	228	23	11	0	0	0	0	0	0	0	28
7	7	37	2.3793103448275863	74	1	0	0	33	31	14	0.3472668810289389	0	0	0	0	0	0	0	0	0	0	0	1	237	17	6	0	0	0	0	0	0	0	33
8	8	38	2.191489361702128	129	2	1	1	33	60	29	0.3080260303687636	0	1	0	0	0	0	0	0	0	0	0	1	332	36	14	0	0	0	0	0	0	0	33
9	9	38	3.0	93	14	10	8	30	23	13	0.3461538461538461	2	8	3	0	0	0	0	0	0	0	0	1	193	20	7	0	0	0	0	0	0	0	30
10	10	38	2.6	58	7	6	2	33	29	11	0.4246575342465753	4	2	0	0	0	0	0	0	0	0	0	1	234	32	13	0	0	0	0	1	0	0	32
11	11	39	3.3846153846153846	134	16	11	0	53	50	35	0.3391304347826087	6	3	5	1	1	0	0	0	0	0	0	0	326	38	23	0	0	0	0	4	0	2	47
12	12	40	3.484848484848485	111	19	8	0	35	23	15	0.3286118980169972	5	1	8	0	0	0	0	1	0	1	0	3	242	41	17	0	0	0	0	6	0	2	27
13	13	41	3.678571428571429	105	6	4	0	0	0	0	0.4032258064516129	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-1
14	14	41	4.766666666666667	137	19	15	0	40	38	19	0.2984054669703872	15	0	1	0	0	0	0	0	0	0	0	3	302	36	7	0	0	0	0	13	0	1	26
15	15	44	5.448275862068965	153	19	11	0	22	13	9	0.42586750788643535	4	0	1	4	0	0	0	2	0	1	0	7	164	27	14	0	0	0	0	9	0	0	13
16	16	44	5.111111111111111	147	18	13	1	13	11	7	0.4388489208633093	1	0	3	9	1	0	0	0	0	1	1	2	131	18	13	0	0	0	0	0	0	0	13
17	17	44	5.2	176	20	11	0	22	16	11	0.3276353276353277	8	0	6	2	0	0	0	0	0	0	1	3	175	25	12	0	0	0	0	2	0	0	20
18	18	44	4.102564102564102	165	19	11	0	17	12	3	0.4639175257731959	7	0	3	0	1	0	1	1	0	1	0	5	126	12	7	0	0	0	0	2	0	0	15
19	19	49	3.0769230769230766	38	2	1	0	12	13	1	0.4516129032258064	0	1	1	0	0	0	0	0	0	0	0	0	117	17	12	0	0	0	0	4	0	1	7
