	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	35	1.6603053435114503	730	12	11	0	8	67	0	0.1510607168983175	1	9	1	0	0	1	0	0	0	0	0	0	1996	203	91	2	197	284	94	0	0	0	8
1	1	35	2.051813471502591	575	27	24	1	13	111	0	0.17811704834605604	1	23	2	0	0	0	0	0	0	0	0	1	1389	167	52	0	168	239	69	1	2	1	9
2	2	36	1.9336283185840708	654	16	13	0	22	110	0	0.1230723606168446	1	11	0	0	0	0	0	0	0	0	1	3	2718	286	133	0	365	277	121	8	8	8	-2
3	3	37	2.3664122137404577	1165	17	15	0	51	239	5	0.11394935584184808	2	13	0	0	0	0	0	0	0	0	0	2	2779	262	122	2	318	415	252	26	10	10	5
4	4	37	2.5974842767295603	1508	22	20	0	36	341	10	0.11139044672210403	0	14	0	1	3	0	2	0	0	0	0	2	2991	324	185	4	327	484	246	9	5	4	18
5	5	38	3.446771378708552	2170	73	41	3	144	427	5	0.1099006728612624	2	26	5	1	9	1	0	1	0	0	1	27	3470	356	177	5	346	537	288	31	44	8	61
6	6	38	3.681318681318681	1315	45	31	3	112	262	7	0.1415929203539823	2	10	0	0	17	0	1	0	0	0	1	14	2194	232	124	0	259	295	170	27	47	25	13
7	7	39	3.620423892100193	1996	66	28	4	233	344	14	0.11888454011741682	6	7	4	2	7	0	1	0	0	0	5	34	3085	292	157	10	348	444	214	33	58	24	118
8	8	39	3.1193317422434372	1425	72	48	20	131	254	1	0.15294909172460192	2	36	7	0	5	0	0	0	0	1	4	17	2804	293	131	3	300	442	194	18	39	11	63
9	9	40	4.545454545454546	1747	133	91	34	254	188	10	0.1190085357846356	16	57	16	0	4	0	2	2	0	1	9	26	2638	298	143	10	298	328	157	45	63	11	135
10	10	40	4.623931623931624	1094	114	83	37	163	127	5	0.1219059405940594	1	62	3	2	5	1	4	5	0	0	3	28	2282	258	127	6	269	257	149	19	54	6	84
11	11	41	4.003333333333333	1261	84	43	7	159	142	6	0.15995363662706466	2	14	5	3	15	0	5	2	0	0	2	36	2102	231	124	5	208	317	159	20	50	6	83
12	12	41	4.7986870897155365	2089	162	96	27	273	224	16	0.12347232207045293	5	49	13	4	5	1	14	6	0	2	10	53	3460	376	177	7	373	462	199	70	97	46	60
13	13	41	5.758909853249477	2605	192	82	15	324	311	35	0.11555915721231767	15	30	12	16	7	0	0	1	0	1	12	98	2685	307	143	4	278	357	164	71	109	39	105
14	14	42	5.368421052631579	1859	148	117	24	261	193	25	0.13063909774436092	8	49	7	9	6	3	9	2	1	0	30	24	2366	288	129	8	279	299	161	63	63	18	117
15	15	42	5.9219143576826205	2194	185	156	14	283	315	80	0.13564448580735225	1	30	7	35	3	0	6	9	1	6	65	22	1998	209	112	5	198	281	144	34	89	9	151
16	16	42	4.75076923076923	1517	138	90	23	212	146	32	0.12207198628832605	6	44	10	6	3	0	1	16	0	1	13	38	3464	372	168	7	378	426	248	61	39	21	91
