	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	57	6.333333333333332	357	56	34	1	48	57	16	0.2767475035663338	17	0	10	8	0	2	3	2	0	1	1	12	344	49	17	1	61	48	3	5	0	1	42
1	1	67	3.6461538461538465	217	42	29	0	41	33	6	0.2878411910669975	24	0	4	3	0	2	0	0	0	0	0	9	589	95	48	0	101	76	17	7	0	1	33
2	2	60	5.504854368932039	528	75	56	1	79	78	13	0.2638297872340425	11	4	11	10	1	6	0	17	1	5	1	8	647	102	34	0	106	69	15	17	0	2	60
3	3	56	2.58	132	13	8	0	20	30	6	0.3538461538461539	8	0	0	0	0	0	0	0	0	0	0	5	258	31	6	0	40	43	4	0	0	0	20
4	4	53	4.184615384615385	243	38	37	4	36	46	2	0.29642857142857143	9	1	0	4	12	1	3	0	0	0	7	1	597	95	34	0	101	64	11	8	0	2	26
5	5	52	5.875	346	63	48	1	45	52	7	0.3048951048951049	23	3	7	7	5	0	1	0	0	1	8	8	369	41	12	0	60	48	9	18	0	2	25
6	6	55	6.147540983606558	359	42	29	2	36	57	10	0.2661498708010336	14	1	1	5	4	0	1	0	0	4	0	12	415	67	15	1	68	60	12	6	0	3	27
7	7	50	4.0925925925925934	218	28	10	0	25	41	8	0.28924418604651164	5	0	8	3	0	0	1	0	0	1	0	10	470	57	23	0	69	57	14	7	0	1	17
8	8	69	4.0	227	28	20	0	28	30	8	0.27233115468409586	6	4	3	7	0	2	0	0	0	0	1	5	691	97	29	1	114	91	10	11	0	2	15
9	9	57	4.19672131147541	249	16	15	0	29	69	18	0.27761627906976744	8	4	0	1	1	1	0	0	0	0	0	1	439	50	11	0	64	77	9	7	0	1	21
10	10	60	5.112903225806452	308	37	28	0	39	30	7	0.33649289099526064	13	1	6	9	0	0	0	3	0	2	0	3	325	47	11	0	40	36	9	8	0	2	29
11	11	50	3.6666666666666665	198	20	16	0	27	38	8	0.3223270440251572	8	1	3	1	2	0	0	0	0	1	3	1	438	50	16	1	66	75	9	4	0	2	21
12	12	50	2.5454545454545454	118	7	6	0	12	32	0	0.3121149897330596	5	1	0	0	0	0	0	0	0	0	0	1	369	56	22	0	60	53	9	0	0	0	12
13	13	64	4.395061728395062	335	46	37	1	53	42	9	0.2618223760092272	23	6	5	0	1	0	2	1	0	2	2	4	532	75	19	0	89	55	15	10	0	2	41
14	14	52	4.56140350877193	255	29	14	1	41	57	10	0.29057187017001546	2	2	12	0	2	1	2	0	0	4	1	3	392	57	19	0	71	55	9	2	0	0	39
