fileid	Unnamed: 0	Unnamed: 0.1	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
Bates/Free28/betty 	0	0	28	1.769230769	30	4	4	0	3	6	0	0.396610169	1	0	0	0	0	2	1	0	0	0	0	0	265	32	25	0	23	37	19	1	0	0	2	0.13333333333333333	0.0	0.1	0.3333333333333333	0.2	0.0	0.09433962264150944	0.08679245283018867	0.13962264150943396	0.07169811320754717
Bates/Free28/ed 	24	24	28	3.627696957	263	22	20	0	32	39	6	0.3455760793333333	4	1	0	3	1	0	0	0	0	7	4	2	1256	139	89	0	168	149	53	1	10	0	21	0.07604562737642585	0.0	0.12167300380228137	0.34375	0.1482889733840304	0.022813688212927757	0.07085987261146497	0.1337579617834395	0.11863057324840764	0.04219745222929936
Bates/Free28/george 	27	27	28	2.950191571	189	13	11	0	19	40	13	0.30535370399999995	1	0	2	5	1	3	0	0	0	1	0	0	715	58	32	1	90	124	72	5	10	0	4	0.0582010582010582	0.0	0.10052910052910052	0.7894736842105263	0.21164021164021163	0.06878306878306878	0.044755244755244755	0.1258741258741259	0.17342657342657342	0.1006993006993007
Bates/Free28/jane 	75	75	28	2.8294154356666668	274	16	15	0	41	44	17	0.362048136	7	0	0	2	2	1	1	2	0	0	0	1	787	87	53	0	117	88	40	0	7	0	34	0.05474452554744526	0.0	0.14963503649635038	0.17073170731707318	0.16058394160583941	0.06204379562043796	0.06734434561626429	0.14866581956797967	0.11181702668360864	0.05082592121982211
Bates/Free28/jim 	84	84	28	3.2834834836666666	298	34	30	1	52	42	13	0.35733121433333337	15	0	0	4	0	1	1	4	0	5	0	4	805	115	66	0	129	77	33	20	3	0	29	0.10067114093959731	0.03333333333333333	0.174496644295302	0.4423076923076923	0.14093959731543623	0.0436241610738255	0.08198757763975155	0.16024844720496895	0.09565217391304348	0.040993788819875775
Bates/Free28/keith 	102	102	28	3.4458689456666662	435	50	45	0	51	85	39	0.3155018923333333	18	1	3	8	0	12	3	1	0	2	0	2	1308	170	107	0	204	156	79	7	10	4	30	0.10344827586206896	0.0	0.11724137931034483	0.4117647058823529	0.19540229885057472	0.0896551724137931	0.08180428134556575	0.1559633027522936	0.11926605504587157	0.06039755351681957
Bates/Free28/olivia 	144	144	28	2.911546841	332	39	34	0	40	56	13	0.2999046656666667	20	1	3	3	0	6	3	0	0	1	0	2	1132	133	75	0	140	131	77	3	3	0	34	0.10240963855421686	0.0	0.12048192771084337	0.15	0.1686746987951807	0.0391566265060241	0.06625441696113074	0.12367491166077739	0.1157243816254417	0.06802120141342756
Bates/Free28/pete 	162	162	28	2.9799253033333333	156	19	11	0	19	30	4	0.340556193	8	0	0	2	0	1	0	0	0	0	0	8	932	87	50	1	114	146	54	0	3	0	16	0.07051282051282051	0.0	0.12179487179487179	0.15789473684210525	0.19230769230769232	0.02564102564102564	0.0536480686695279	0.1223175965665236	0.15665236051502146	0.05793991416309013
Bates/Free28/steve 	189	189	28	3.0302910053333334	366	47	33	0	50	48	8	0.30950374799999997	27	1	2	4	0	0	0	0	0	0	1	12	1151	119	47	0	163	131	74	4	12	3	31	0.09016393442622951	0.0	0.1366120218579235	0.38	0.13114754098360656	0.02185792349726776	0.04083405734144222	0.1416159860990443	0.11381407471763684	0.06429192006950478
Bates/Free28/sue 	198	198	28	2.2709202939999997	218	17	13	0	18	43	19	0.3579641306666667	4	0	0	3	0	3	3	0	0	0	0	4	847	124	44	0	115	84	39	3	5	0	10	0.05963302752293578	0.0	0.08256880733944955	0.4444444444444444	0.19724770642201836	0.0871559633027523	0.05194805194805195	0.1357733175914994	0.09917355371900827	0.04604486422668241
Bates/Free28/tom 	207	207	28	3.2130952379999997	429	47	43	0	75	55	13	0.3440973573333333	17	1	2	14	8	3	0	0	0	0	0	2	712	52	18	0	83	83	37	14	18	6	37	0.10023310023310024	0.0	0.17482517482517482	0.5066666666666667	0.1282051282051282	0.030303030303030304	0.025280898876404494	0.11657303370786516	0.11657303370786516	0.05196629213483146
