age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
31	0	0	3.6861313868613137	493	52	32	0	74	88	43	0.2138508371385084	8	2	13	1	1	5	2	7	0	6	0	7	646	81	45	1	73	75	37	4	8	1	61	31	0.06490872210953347	0.0	0.15010141987829614	0.17849898580121704	0.17567567567567569	0.0872210953346856	0.0696594427244582	0.1130030959752322	0.11609907120743033	0.05727554179566564
32	1	1	4.567796610169491	547	66	40	1	82	66	31	0.222007722007722	13	1	16	12	4	2	0	5	0	2	1	10	755	87	42	1	96	104	40	11	9	0	62	32	0.07312614259597806	0.025	0.14990859232175502	0.1206581352833638	0.24390243902439024	0.056672760511883	0.05562913907284768	0.1271523178807947	0.13774834437086092	0.052980132450331126
33	9	9	5.037997772208299	1774	153	109	1	231	263	130	0.21702028962931455	68	9	15	10	2	0	0	8	1	7	4	29	392	56	20	0	49	51	22	53	43	10	125	33	0.06144306651634724	0.009174311926605505	0.13021420518602028	0.14825253664036075	0.4588744588744589	0.07328072153325817	0.05102040816326531	0.125	0.13010204081632654	0.05612244897959184
34	5	5	6.238095238095237	929	96	52	0	126	140	65	0.186338523355098	25	4	38	5	2	0	1	7	1	4	3	6	227	26	12	0	21	36	14	17	19	8	82	34	0.05597416576964478	0.0	0.1356297093649085	0.15069967707212056	0.3492063492063492	0.06996770721205597	0.05286343612334802	0.09251101321585903	0.15859030837004406	0.06167400881057269
35	6	6	5.70886075949367	1295	171	102	0	194	204	79	0.14613180515759314	58	20	40	0	3	4	1	12	1	2	1	29	25	5	2	0	4	5	0	36	23	12	123	35	0.07876447876447877	0.0	0.1498069498069498	0.15752895752895754	0.36597938144329895	0.061003861003861	0.08	0.16	0.2	0.0
36	15	15	6.109166724823784	1959	200	117	0	280	294	152	0.17926516455056385	44	14	60	15	5	11	3	4	1	16	4	23	45	5	3	0	5	7	2	69	52	9	150	36	0.05972434915773354	0.0	0.14293006636038796	0.15007656967840735	0.4642857142857143	0.07759060745278203	0.06666666666666667	0.1111111111111111	0.15555555555555556	0.044444444444444446
38	30	30	5.514896536284062	2505	281	204	0	344	328	179	0.18207787656497598	99	11	50	5	12	11	6	39	0	9	12	27	990	136	56	0	121	122	42	42	31	8	263	38	0.081437125748503	0.0	0.1373253493013972	0.130938123752495	0.23546511627906977	0.07145708582834331	0.05656565656565657	0.12222222222222222	0.12323232323232323	0.04242424242424243
39	25	25	5.160626073883162	1428	215	149	0	163	198	65	0.20705529633734554	47	56	42	5	3	3	5	14	0	7	9	24	1482	204	107	0	180	166	61	65	34	6	58	39	0.10434173669467788	0.0	0.11414565826330532	0.13865546218487396	0.6441717791411042	0.04551820728291316	0.07219973009446694	0.1214574898785425	0.11201079622132254	0.04116059379217274
41	14	14	4.624161073825503	698	89	52	0	98	102	35	0.1897172236503856	21	5	31	15	6	1	0	0	0	0	4	6	270	38	24	0	44	26	9	25	12	3	58	41	0.07449856733524356	0.0	0.14040114613180515	0.14613180515759314	0.40816326530612246	0.050143266475644696	0.08888888888888889	0.16296296296296298	0.0962962962962963	0.03333333333333333
43	15	15	4.937238493723848	1128	138	108	0	179	127	54	0.18074722315718614	41	9	18	20	7	4	1	11	3	4	8	12	0	0	0	0	0	0	0	41	23	9	106	43	0.09574468085106383	0.0	0.15868794326241134	0.1125886524822695	0.40782122905027934	0.047872340425531915				
44	33	33	5.385742300819235	3139	445	287	1	451	415	135	0.14102362402930035	171	24	120	24	9	4	1	35	5	9	5	38	0	0	0	0	0	0	0	69	33	8	341	44	0.09143039184453648	0.003484320557491289	0.14367633004141447	0.13220770946161198	0.24390243902439024	0.04300732717425932				
45	57	57	5.6922482915636765	3756	401	247	0	473	622	219	0.16938065582343972	129	32	111	26	8	5	1	29	8	5	4	43	0	0	0	0	0	0	0	80	48	9	336	45	0.06576144834930778	0.0	0.1259318423855165	0.16560170394036208	0.28964059196617337	0.05830670926517572				
51	22	22	4.9135135135135135	813	67	44	0	116	128	52	0.21428571428571427	12	5	22	2	1	7	0	14	1	1	1	1	33	2	0	0	2	6	3	30	12	5	69	51	0.05412054120541206	0.0	0.14268142681426815	0.15744157441574416	0.4051724137931034	0.06396063960639606	0.0	0.06060606060606061	0.18181818181818182	0.09090909090909091
52	47	47	5.858026066614682	2461	292	185	0	332	380	150	0.17023543949024408	87	24	82	15	6	10	9	16	1	6	11	25	0	0	0	0	0	0	0	44	45	7	236	52	0.07517269402681837	0.0	0.1349045103616416	0.15440877691995125	0.2891566265060241	0.060950832994717596				
53	25	25	6.304347826086956	1667	198	137	0	227	248	119	0.18400940623162845	53	3	39	11	7	11	8	20	4	11	9	22	0	0	0	0	0	0	0	43	29	6	149	53	0.08218356328734253	0.0	0.13617276544691062	0.14877024595080984	0.3436123348017621	0.07138572285542892				
56	26	26	5.722222222222222	1236	161	101	0	162	149	57	0.15351458885941646	37	5	40	5	13	2	7	24	1	4	3	20	0	0	0	0	0	0	0	31	21	6	104	56	0.08171521035598706	0.0	0.13106796116504854	0.12055016181229773	0.35802469135802467	0.04611650485436893				
