age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
29	18	18	3.547524658604603	1588	130	88	7	242	285	119	0.1539909058357875	43	4	2	8	21	0	2	1	0	2	7	40	8246	1059	466	3	1149	942	408	32	41	6	163	29	0.055415617128463476	0.07954545454545454	0.15239294710327456	0.17947103274559195	0.32644628099173556	0.07493702770780857	0.05651224836284259	0.1393402861993694	0.11423720591802086	0.04947853504729566
30	17	17	3.72363276960246	1141	123	68	3	166	174	70	0.158556561324106	40	8	11	11	4	0	0	1	0	3	1	44	4751	582	255	1	636	504	222	10	26	3	127	30	0.05959684487291849	0.04411764705882353	0.14548641542506574	0.15249780893952672	0.23493975903614459	0.06134969325153374	0.053672910966112396	0.133866554409598	0.10608292990949274	0.046727004841086085
31	10	10	4.649350649350652	690	82	50	0	112	95	43	0.13730314960629922	20	4	11	15	0	0	2	3	0	3	3	21	3310	453	236	0	494	343	203	24	16	0	72	31	0.07246376811594203	0.0	0.16231884057971013	0.13768115942028986	0.35714285714285715	0.06231884057971015	0.07129909365558912	0.14924471299093656	0.10362537764350453	0.06132930513595166
32	23	23	5.279262013729978	1851	269	161	5	305	249	152	0.1287285121517487	72	18	45	45	5	0	7	7	0	1	6	63	4814	673	317	4	701	516	313	57	39	10	199	32	0.08698001080497028	0.031055900621118012	0.1647757968665586	0.13452188006482982	0.3475409836065574	0.08211777417612101	0.06584960531782301	0.14561695056086416	0.10718737017033651	0.06501869547154134
33	27	27	5.224396689270042	1495	177	127	1	224	188	98	0.15729324743319378	38	7	19	48	10	1	4	7	0	1	11	31	3737	458	256	1	497	414	190	40	24	5	155	33	0.08494983277591973	0.007874015748031496	0.14983277591973243	0.12575250836120402	0.3080357142857143	0.06555183946488294	0.0685041477120685	0.13299438051913298	0.11078405137811079	0.050842922130050844
34	15	15	4.714285714285714	402	40	30	0	59	72	33	0.2021952628538417	15	0	3	3	3	1	4	2	0	1	1	7	1314	153	87	0	181	157	81	27	8	5	19	34	0.07462686567164178	0.0	0.14676616915422885	0.1791044776119403	0.6779661016949152	0.08208955223880597	0.06621004566210045	0.13774733637747336	0.11948249619482496	0.06164383561643835
36	33	33	6.221096345514951	1888	269	190	2	274	245	91	0.1455268496804713	111	12	52	20	11	3	6	17	3	6	1	27	5196	713	342	2	737	608	224	56	37	7	174	36	0.10063559322033898	0.010526315789473684	0.1451271186440678	0.12976694915254236	0.36496350364963503	0.048199152542372885	0.06581986143187067	0.1418398768283295	0.1170130869899923	0.04311008468052348
38	18	18	4.601190476190476	750	98	70	0	108	115	49	0.15386887182516246	44	1	16	7	8	0	2	7	0	1	0	12	2636	342	164	0	349	313	142	31	24	4	49	38	0.09333333333333334	0.0	0.144	0.15333333333333332	0.5462962962962963	0.06533333333333333	0.0622154779969651	0.13239757207890743	0.11874051593323216	0.05386949924127466
39	60	60	5.322873363195943	2277	320	206	0	332	257	100	0.14932201164675862	84	12	56	47	22	1	2	23	0	7	8	58	6644	893	455	3	911	707	304	104	48	10	170	39	0.09046991655687307	0.0	0.1458058849363197	0.11286780851998243	0.4879518072289157	0.04391743522178305	0.06848284166164961	0.13711619506321493	0.10641180012040939	0.045755568934376885
40	45	45	6.219434349082099	1737	250	142	0	230	216	112	0.1438462494502763	64	7	50	26	7	0	0	17	1	12	8	58	5197	653	316	2	724	555	251	62	26	5	137	40	0.08175014392630973	0.0	0.13241220495106507	0.12435233160621761	0.4043478260869565	0.0644789867587795	0.0608043101789494	0.13931114104290937	0.10679238021935732	0.04829709447758322
41	75	75	6.3796460849092425	2402	334	214	0	357	311	129	0.15025075574297317	126	9	50	20	10	1	2	21	0	18	7	70	7167	890	420	2	962	750	366	134	67	15	141	41	0.0890924229808493	0.0	0.14862614487926729	0.12947543713572024	0.6050420168067226	0.053705245628642796	0.05860192549183759	0.1342263150551137	0.10464629552113855	0.05106739221431561
43	55	55	8.80892356942777	2666	359	228	0	370	298	124	0.1441180833704198	84	11	80	39	16	22	2	16	2	23	13	51	3935	481	256	2	537	412	184	117	49	16	188	43	0.08552138034508627	0.0	0.13878469617404351	0.11177794448612154	0.4918918918918919	0.046511627906976744	0.0650571791613723	0.13646759847522236	0.10470139771283354	0.04675984752223634
44	59	59	8.393390986692513	2599	336	205	1	369	289	135	0.1358944192455913	88	11	76	32	7	7	4	30	4	20	2	55	5516	675	339	1	742	617	296	109	48	10	202	44	0.07887649095806079	0.004878048780487805	0.14197768372450942	0.11119661408233936	0.45257452574525747	0.051943055021161984	0.06145757795503989	0.13451776649746192	0.11185641769398115	0.05366207396664249
45	31	31	6.825503355704697	975	121	82	1	104	121	52	0.15384615384615385	38	3	21	14	8	3	2	8	1	5	0	18	2683	340	200	1	347	287	113	31	7	3	63	45	0.0841025641025641	0.012195121951219513	0.10666666666666667	0.12410256410256411	0.3942307692307692	0.05333333333333334	0.07454342154304883	0.1293328363771897	0.10696980991427507	0.04211703317182259
46	65	65	5.99868264490906	1748	229	138	0	241	220	109	0.14373278249743546	78	8	37	19	4	0	1	15	0	9	4	54	5114	648	317	2	698	538	241	75	32	10	124	46	0.07894736842105263	0.0	0.13787185354691076	0.12585812356979406	0.4854771784232365	0.062356979405034325	0.061986703167774736	0.13648807195932733	0.10520140789988268	0.04712553773953852
47	69	69	6.1650600701704645	1914	254	185	0	264	265	109	0.14295794674598544	101	14	38	14	9	1	0	24	1	17	4	31	5648	716	384	1	799	640	260	61	27	7	169	47	0.09665621734587251	0.0	0.13793103448275862	0.13845350052246605	0.35984848484848486	0.056948798328108674	0.0679886685552408	0.14146600566572237	0.11331444759206799	0.04603399433427762
48	36	36	5.897810218978102	748	118	85	0	114	73	35	0.1742504409171076	43	5	14	9	0	6	3	4	0	6	9	19	2072	281	112	0	280	196	99	34	11	2	67	48	0.11363636363636363	0.0	0.15240641711229946	0.09759358288770054	0.41228070175438597	0.04679144385026738	0.05405405405405406	0.13513513513513514	0.0945945945945946	0.04777992277992278
49	114	114	7.22036837732714	2660	366	245	0	425	418	163	0.177369167901833	123	9	47	19	11	0	2	40	1	24	16	74	6874	900	432	2	942	860	355	165	50	10	200	49	0.09210526315789473	0.0	0.15977443609022557	0.15714285714285714	0.5294117647058824	0.06127819548872181	0.06284550480069828	0.137038114634856	0.12510910677916787	0.051643875472796044
