age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
15	0	0	2.2857142857142856	68	5	5	0	0	2	0	0.3161764705882353	0	5	0	0	0	0	0	0	0	0	0	0	340	36	13	0	45	65	14	0	0	0	0	15	0.07352941176470588	0.0	0.0	0.029411764705882353		0.0	0.03823529411764706	0.1323529411764706	0.19117647058823528	0.041176470588235294
26	190	190	2.601770436533649	1903	228	119	3	372	260	37	0.25831358891956385	95	1	58	1	5	1	13	1	0	1	1	51	1390	163	78	1	212	177	58	39	74	8	251	26	0.0625328428796637	0.025210084033613446	0.19548081975827641	0.13662637940094588	0.32526881720430106	0.019442984760903836	0.05611510791366906	0.15251798561151078	0.12733812949640289	0.041726618705035974
27	101	101	3.1685876048933377	842	125	94	2	151	113	47	0.20703758498269062	75	9	2	7	2	0	0	0	0	0	1	29	1528	227	52	0	220	193	47	15	24	0	112	27	0.11163895486935867	0.02127659574468085	0.17933491686460806	0.1342042755344418	0.2582781456953642	0.055819477434679333	0.034031413612565446	0.14397905759162305	0.1263089005235602	0.030759162303664923
28	327	327	3.6664639989639993	1766	246	155	0	324	276	96	0.30156350787999353	129	14	28	0	1	1	2	6	0	2	0	63	1383	179	43	0	174	162	70	66	81	26	151	28	0.08776896942242356	0.0	0.18346545866364666	0.15628539071347677	0.5339506172839507	0.05436013590033975	0.03109182935647144	0.12581344902386118	0.11713665943600868	0.05061460592913955
29	300	300	3.4224479492139066	2506	345	208	1	413	273	96	0.28116416341411976	108	47	57	11	15	7	8	5	0	6	1	80	1925	278	74	0	268	234	86	83	63	5	262	29	0.08300079808459697	0.004807692307692308	0.164804469273743	0.10893854748603352	0.36561743341404357	0.03830806065442937	0.03844155844155844	0.13922077922077922	0.12155844155844156	0.044675324675324674
30	192	192	3.8511111111111114	474	43	31	0	75	54	19	0.42757879842481183	18	9	3	1	0	0	0	2	0	0	1	9	487	58	18	0	68	40	20	12	22	0	41	30	0.06540084388185655	0.0	0.15822784810126583	0.11392405063291139	0.4533333333333333	0.04008438818565401	0.03696098562628337	0.13963039014373715	0.08213552361396304	0.04106776180698152
31	66	66	3.3673469387755097	210	27	23	0	30	60	18	0.3276231263383297	18	4	2	0	0	0	0	0	0	0	1	2	5	0	0	0	0	0	0	4	4	0	22	31	0.10952380952380952	0.0	0.14285714285714285	0.2857142857142857	0.26666666666666666	0.08571428571428572	0.0	0.0	0.0	0.0
32	135	135	3.579270186335404	2723	227	141	0	356	499	167	0.18273571124739796	86	14	35	11	2	0	0	6	0	19	3	51	1167	109	44	1	120	225	95	82	96	15	163	32	0.051781123760558205	0.0	0.13073815644509731	0.18325376423062797	0.5421348314606742	0.06132941608520015	0.037703513281919454	0.10282776349614396	0.1928020565552699	0.08140531276778064
33	210	210	3.7986043413118353	1529	204	135	3	235	235	90	0.259340705196277	91	6	31	5	0	7	13	7	0	4	2	38	1693	216	57	0	212	229	98	27	36	5	167	33	0.08829300196206671	0.022222222222222223	0.15369522563767168	0.15369522563767168	0.28936170212765955	0.058862001308044476	0.03366804489072652	0.12522150029533372	0.13526284701712935	0.057885410513880686
35	370	370	4.088940640737978	3363	373	252	2	465	397	146	0.2654925224591425	175	28	60	9	7	7	1	8	2	6	9	61	3108	340	130	1	365	426	154	102	54	10	299	35	0.07493309545049064	0.007936507936507936	0.13826940231935772	0.11804936068986024	0.35698924731182796	0.04341361879274457	0.04182754182754183	0.11743886743886744	0.13706563706563707	0.04954954954954955
