age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
29	5	5	3.4990999099909987	895	90	80	0	122	161	64	0.19894245818926543	70	2	1	3	0	0	0	4	0	1	0	9	0	0	0	0	0	0	0	9	17	0	96	29	0.0893854748603352	0.0	0.13631284916201117	0.17988826815642459	0.21311475409836064	0.07150837988826815				
30	22	22	4.612838614122696	4672	496	363	2	654	705	376	0.1362207071052075	254	31	44	42	4	4	1	10	0	13	4	89	32	0	0	0	3	6	1	121	137	43	353	30	0.07769691780821918	0.005509641873278237	0.13998287671232876	0.15089897260273974	0.4602446483180428	0.08047945205479452	0.0	0.09375	0.1875	0.03125
31	17	17	5.033709106984969	1784	200	111	0	286	296	130	0.17293914553635603	64	4	25	25	1	0	1	9	0	7	0	64	0	0	0	0	0	0	0	52	39	8	187	31	0.062219730941704035	0.0	0.16031390134529147	0.16591928251121077	0.34615384615384615	0.07286995515695067				
32	10	10	4.154320987654321	705	63	45	0	102	76	38	0.17040769583142465	30	2	7	4	2	1	1	2	1	1	1	11	0	0	0	0	0	0	0	9	25	2	66	32	0.06382978723404255	0.0	0.14468085106382977	0.10780141843971631	0.35294117647058826	0.05390070921985816				
33	36	36	5.160751649471031	2680	263	192	0	381	348	150	0.1681558480553178	107	16	12	33	7	2	3	9	0	10	5	59	632	61	22	0	81	89	33	82	69	11	219	33	0.07164179104477612	0.0	0.14216417910447762	0.12985074626865672	0.4251968503937008	0.055970149253731345	0.03481012658227848	0.1281645569620253	0.14082278481012658	0.05221518987341772
34	29	29	5.033077485380117	1982	157	126	1	216	283	120	0.148467520763714	82	11	13	10	4	0	1	6	0	9	3	18	0	0	0	0	0	0	0	68	29	5	114	34	0.06357214934409687	0.007936507936507936	0.10898082744702321	0.14278506559031282	0.4722222222222222	0.060544904137235116				
36	16	16	5.0101010101010095	532	59	43	0	56	82	21	0.1921397379912664	29	2	8	2	0	0	0	1	0	3	6	8	60	6	4	0	7	8	1	6	5	0	45	36	0.08082706766917293	0.0	0.10526315789473684	0.15413533834586465	0.19642857142857142	0.039473684210526314	0.06666666666666667	0.11666666666666667	0.13333333333333333	0.016666666666666666
37	17	17	5.462264150943396	616	86	66	0	91	48	26	0.18840579710144928	50	5	9	1	0	3	0	0	0	4	3	11	702	82	21	0	89	82	39	23	9	0	59	37	0.10714285714285714	0.0	0.14772727272727273	0.07792207792207792	0.3516483516483517	0.04220779220779221	0.029914529914529916	0.1267806267806268	0.1168091168091168	0.05555555555555555
38	18	18	7.594713656387666	1662	189	124	0	229	245	91	0.15746971736204576	52	3	34	38	2	3	0	6	0	15	5	31	0	0	0	0	0	0	0	44	16	5	164	38	0.07460890493381468	0.0	0.13778580024067388	0.14741275571600482	0.2838427947598253	0.05475330926594465				
39	39	39	6.565537766830871	2894	297	184	0	380	440	211	0.16060338726237827	99	36	54	16	5	3	1	3	1	13	7	59	0	0	0	0	0	0	0	102	56	9	213	39	0.0635798203178991	0.0	0.13130615065653076	0.1520387007601935	0.4394736842105263	0.07290946786454734				
41	43	43	7.837077294685992	3121	362	209	0	401	387	169	0.13618007323824055	133	20	94	13	5	3	2	13	0	14	6	59	0	0	0	0	0	0	0	67	39	15	280	41	0.06696571611662928	0.0	0.12848446010893944	0.12399871835950016	0.30174563591022446	0.05414931111823133				
42	23	23	11.065656565656566	2005	209	150	2	248	295	211	0.15103492884864167	67	5	18	49	2	3	0	4	0	12	8	41	726	71	39	0	89	124	71	134	50	22	42	42	0.07481296758104738	0.013333333333333334	0.12369077306733167	0.14713216957605985	0.8306451612903226	0.10523690773067332	0.05371900826446281	0.12258953168044077	0.17079889807162535	0.09779614325068871
43	24	24	11.966442953020135	1695	173	99	0	199	239	91	0.1637271214642263	52	3	42	24	3	2	2	9	0	3	1	32	0	0	0	0	0	0	0	66	33	8	92	43	0.0584070796460177	0.0	0.11740412979351032	0.1410029498525074	0.5376884422110553	0.05368731563421829				
45	25	25	7.265957446808509	686	65	41	0	75	89	47	0.182370820668693	22	2	11	10	0	0	0	4	0	3	0	13	0	0	0	0	0	0	0	16	11	1	47	45	0.0597667638483965	0.0	0.10932944606413994	0.12973760932944606	0.37333333333333335	0.06851311953352769				
46	81	81	9.143675415039732	5419	585	335	2	682	565	308	0.1464448102012941	193	24	99	19	18	12	21	14	5	18	11	151	225	28	9	0	27	32	15	137	56	16	473	46	0.061819523897398046	0.005970149253731343	0.12585347850156856	0.104262779110537	0.3064516129032258	0.05683705480715999	0.04	0.12	0.14222222222222222	0.06666666666666667
47	59	59	6.15979251437603	3139	288	198	1	333	364	180	0.1529609029338312	115	7	32	30	7	7	5	10	0	10	7	58	0	0	0	0	0	0	0	67	51	8	207	47	0.06307741318891366	0.005050505050505051	0.10608474036317299	0.11596049697355845	0.3783783783783784	0.05734310289901243				
48	31	31	5.509933774834436	891	108	80	0	114	103	28	0.16125725999316706	52	9	15	9	2	4	3	1	0	0	0	13	0	0	0	0	0	0	0	29	18	5	62	48	0.08978675645342311	0.0	0.12794612794612795	0.11560044893378227	0.45614035087719296	0.031425364758698095				
50	65	65	8.875305576776167	3918	460	231	0	530	421	190	0.1348533834200614	139	22	91	0	2	9	12	22	0	18	7	138	74	8	2	0	8	11	6	138	79	26	287	50	0.058958652373660034	0.0	0.13527309851965288	0.1074527820316488	0.45849056603773586	0.04849412965798877	0.02702702702702703	0.10810810810810811	0.14864864864864866	0.08108108108108109
51	34	34	9.149572649572649	1992	216	156	2	249	303	134	0.15311244979919678	66	10	31	28	10	15	4	4	0	18	1	29	1501	130	59	0	159	240	135	52	36	6	155	51	0.0783132530120482	0.01282051282051282	0.125	0.15210843373493976	0.37751004016064255	0.06726907630522089	0.03930712858094604	0.10592938041305797	0.15989340439706862	0.0899400399733511
52	71	71	7.78175759180791	2325	255	178	0	295	313	140	0.16429216994866636	120	11	28	14	0	10	6	3	0	12	2	49	1104	120	43	0	147	151	75	61	46	10	178	52	0.07655913978494623	0.0	0.12688172043010754	0.13462365591397848	0.39661016949152544	0.060215053763440864	0.03894927536231884	0.1331521739130435	0.13677536231884058	0.06793478260869565
53	114	114	6.766709928617781	2789	374	237	0	363	279	149	0.19973544035732335	165	14	63	6	2	4	3	18	1	17	7	74	3792	512	219	1	528	549	232	100	33	8	222	53	0.08497669415561133	0.0	0.13015417712441735	0.10003585514521333	0.3884297520661157	0.05342416636787379	0.05775316455696203	0.13924050632911392	0.14477848101265822	0.06118143459915612
54	40	40	5.637755102040818	2127	259	189	1	285	238	108	0.12835349815886374	129	4	10	26	3	0	3	7	0	10	7	60	0	0	0	0	0	0	0	91	26	15	153	54	0.08885754583921016	0.005291005291005291	0.13399153737658676	0.11189468735307946	0.4631578947368421	0.05077574047954866				
56	41	41	5.901408450704224	1232	165	114	0	164	159	49	0.16148228293210712	79	3	31	8	6	2	0	5	0	10	1	20	0	0	0	0	0	0	0	78	10	6	70	56	0.09253246753246754	0.0	0.1331168831168831	0.12905844155844157	0.573170731707317	0.03977272727272727				
