age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
1.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0										
16.0	3	3	1.9242663109386369	680	51	40	0	53	67	6	0.23428133134235804	26	6	9	0	0	0	0	2	0	0	6	2	362	51	34	0	62	47	24	1	1	0	51	16.0	0.058823529411764705	0.0	0.07794117647058824	0.09852941176470588	0.03773584905660377	0.008823529411764706	0.09392265193370165	0.1712707182320442	0.1298342541436464	0.06629834254143646
28.0	7	7	4.486111111111111	390	48	22	0	92	33	11	0.2278481012658228	15	6	20	0	0	1	0	0	0	0	0	6	332	57	47	0	41	31	13	21	12	5	54	28.0	0.05641025641025641	0.0	0.2358974358974359	0.08461538461538462	0.41304347826086957	0.028205128205128206	0.14156626506024098	0.12349397590361445	0.09337349397590361	0.0391566265060241
29.0	17	17	3.7080456463367852	1146	119	71	0	201	163	27	0.2177621246102613	57	10	17	0	2	0	0	0	0	2	0	31	266	37	13	0	46	30	15	32	20	6	143	29.0	0.06195462478184991	0.0	0.17539267015706805	0.14223385689354276	0.2885572139303483	0.02356020942408377	0.04887218045112782	0.17293233082706766	0.11278195488721804	0.05639097744360902
30.0	10	10	3.6853932584269664	375	42	34	0	53	35	7	0.20600500417014173	21	6	7	2	1	0	0	0	0	3	1	1	20	0	0	0	2	2	0	11	6	0	36	30.0	0.09066666666666667	0.0	0.14133333333333334	0.09333333333333334	0.32075471698113206	0.018666666666666668	0.0	0.1	0.1	0.0
31.0	116	116	4.034849009612589	4974	617	417	0	669	638	160	0.2085799814631663	282	57	128	45	22	2	0	2	0	5	2	72	1217	174	71	0	171	132	52	124	100	28	417	31.0	0.08383594692400483	0.0	0.1344993968636912	0.1282669883393647	0.37668161434977576	0.03216726980297547	0.05834018077239113	0.14050944946589974	0.10846343467543139	0.04272801972062449
32.0	154	154	5.7307895279323855	1196	138	90	0	184	180	45	0.46380022085823286	59	13	23	8	1	0	0	6	0	2	1	25	59	4	3	0	8	7	4	41	33	8	102	32.0	0.07525083612040134	0.0	0.15384615384615385	0.1505016722408027	0.44565217391304346	0.03762541806020067	0.05084745762711865	0.13559322033898305	0.11864406779661017	0.06779661016949153
33.0	341	341	6.057205774552162	2887	335	226	0	417	477	201	0.40880576686778586	133	31	53	19	8	6	1	11	0	8	9	56	121	16	11	0	21	20	4	99	53	8	257	33.0	0.07828195358503637	0.0	0.14444059577416002	0.1652234153100104	0.38369304556354916	0.06962244544509871	0.09090909090909091	0.17355371900826447	0.1652892561983471	0.03305785123966942
34.0	324	324	6.564578787001627	3547	335	219	0	430	532	149	0.23596408189838053	129	35	83	14	4	4	4	8	4	13	4	33	576	49	17	0	71	83	51	107	61	18	244	34.0	0.06174231745136735	0.0	0.12122920778122356	0.14998590358049055	0.4325581395348837	0.042007330138144915	0.029513888888888888	0.1232638888888889	0.1440972222222222	0.08854166666666667
35.0	550	550	6.183951876648823	6686	796	562	1	928	909	272	0.2361376328433691	318	61	122	71	27	15	2	27	3	21	17	112	108	21	15	1	19	19	4	244	139	34	511	35.0	0.08405623691295244	0.0017793594306049821	0.13879748728686808	0.13595572838767575	0.44935344827586204	0.04068202213580616	0.1388888888888889	0.17592592592592593	0.17592592592592593	0.037037037037037035
