age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
29	50	50	1.904040599301228	2767	202	161	0	165	584	69	0.20452243398346276	107	43	32	11	0	0	0	0	0	0	0	9	4403	473	140	0	519	560	277	50	26	21	68	29	0.05818576075171666	0.0	0.05963136971449223	0.2110589085652331	0.5878787878787879	0.02493675460787857	0.03179650238473768	0.11787417669770611	0.1271860095389507	0.06291165114694526
30	58	58	2.0030646203231064	2053	165	114	0	142	420	50	0.2288570612919571	64	11	15	38	1	0	0	0	0	0	0	36	1616	186	49	0	185	190	87	26	8	4	104	30	0.05552849488553337	0.0	0.069167072576717	0.20457866536775451	0.2676056338028169	0.024354603019970774	0.03032178217821782	0.11448019801980198	0.11757425742574257	0.053836633663366336
31	74	74	2.178302675585284	2300	227	170	2	238	442	49	0.2322225958670905	125	19	29	18	5	1	1	1	0	0	0	28	2081	220	67	0	238	273	100	65	33	23	117	31	0.07391304347826087	0.011764705882352941	0.10347826086956521	0.19217391304347825	0.5084033613445378	0.021304347826086957	0.032196059586737144	0.11436809226333494	0.1311869293608842	0.048053820278712155
32	66	66	2.3234834707582204	1550	149	95	0	142	240	13	0.23445328143120647	53	29	44	10	0	0	2	0	0	0	1	10	2618	301	73	1	314	353	169	22	11	1	108	32	0.06129032258064516	0.0	0.09161290322580645	0.15483870967741936	0.23943661971830985	0.008387096774193548	0.027883880825057297	0.119938884644767	0.1348357524828113	0.06455309396485867
33	130	130	2.654790918801671	3435	371	271	4	410	518	111	0.18666523760409665	139	34	77	53	13	3	19	1	0	3	6	23	3565	458	175	1	467	388	188	74	43	20	273	33	0.07889374090247453	0.014760147601476014	0.11935953420669577	0.1508005822416303	0.33414634146341465	0.032314410480349345	0.04908835904628331	0.13099579242636747	0.108835904628331	0.05273492286115007
34	122	122	2.7531380774166996	2950	467	326	4	429	384	74	0.18600074041131393	178	41	91	74	5	10	7	4	0	2	5	50	6981	981	338	0	938	868	362	48	24	4	353	34	0.11050847457627119	0.012269938650306749	0.14542372881355933	0.13016949152542373	0.17715617715617715	0.025084745762711864	0.048417132216014895	0.13436470419710644	0.12433748746597909	0.05185503509525856
35	102	102	3.063433515482696	1876	287	217	0	270	240	57	0.19370639735121697	158	42	44	7	0	3	5	1	0	1	0	26	3180	416	91	0	457	322	121	32	20	6	212	35	0.11567164179104478	0.0	0.1439232409381663	0.1279317697228145	0.21481481481481482	0.030383795309168442	0.028616352201257862	0.14371069182389937	0.10125786163522013	0.038050314465408804
36	111	111	2.733977452727453	2176	269	157	1	315	310	34	0.2021050494124609	103	26	88	11	1	3	4	3	0	0	6	24	2900	373	131	0	366	316	150	20	12	1	282	36	0.07215073529411764	0.006369426751592357	0.14476102941176472	0.14246323529411764	0.10476190476190476	0.015625	0.045172413793103446	0.12620689655172415	0.10896551724137932	0.05172413793103448
37	205	205	3.3686519847430665	4032	542	384	1	598	486	175	0.2046921463298561	245	19	73	66	17	13	11	4	0	2	7	85	3914	502	158	2	565	407	205	86	43	17	452	37	0.09523809523809523	0.0026041666666666665	0.14831349206349206	0.12053571428571429	0.24414715719063546	0.043402777777777776	0.0403679100664282	0.14435360245273376	0.10398569238630558	0.052376085845682166
38	182	182	3.5355160193979422	3085	415	326	2	393	340	174	0.2102106456902101	166	34	42	54	1	43	13	7	2	2	4	47	3171	339	182	0	392	352	141	82	38	12	261	38	0.10567260940032415	0.006134969325153374	0.1273905996758509	0.11021069692058347	0.33587786259541985	0.05640194489465154	0.05739514348785872	0.12362030905077263	0.11100599180069379	0.04446546830652791
39	250	250	3.8477228327228317	4297	592	438	3	586	428	167	0.20319628911082796	298	24	83	63	13	13	3	16	0	3	5	71	4633	487	208	0	562	571	244	88	31	6	461	39	0.10193158017221317	0.00684931506849315	0.13637421456830348	0.09960437514545031	0.21331058020477817	0.03886432394693973	0.044895316209799266	0.12130369091301532	0.12324627671055471	0.05266565939995683
40	218	218	3.754414780810549	2866	323	211	0	343	244	203	0.1853740485224701	148	24	43	15	2	3	11	2	0	4	2	69	4270	453	218	0	594	412	273	31	34	6	272	40	0.07362177250523377	0.0	0.11967899511514306	0.0851360781577111	0.20699708454810495	0.07083042568039079	0.05105386416861827	0.13911007025761124	0.09648711943793911	0.06393442622950819
41	295	295	3.574955270633243	4203	598	373	1	593	413	225	0.19219247202739695	243	33	82	48	9	9	5	15	0	6	5	143	8285	849	432	1	1123	916	473	86	40	12	455	41	0.0887461337140138	0.002680965147453083	0.14108969783487985	0.09826314537235308	0.2327150084317032	0.05353319057815846	0.052142426071213034	0.1355461677730839	0.11056125528062764	0.05709112854556427
42	125	125	3.7531190288861414	1728	176	103	0	205	199	144	0.1902254766667475	66	16	35	6	0	1	0	7	1	1	5	38	2021	177	83	0	229	234	113	38	22	4	141	42	0.05960648148148148	0.0	0.11863425925925926	0.11516203703703703	0.3121951219512195	0.08333333333333333	0.04106877783275606	0.11331024245423058	0.11578426521523998	0.05591291439881247
43	262	262	4.217665337355411	3240	438	272	2	460	335	182	0.21957398196432792	156	31	83	18	1	20	10	31	0	2	3	83	3327	328	148	0	443	343	189	66	41	5	348	43	0.08395061728395062	0.007352941176470588	0.1419753086419753	0.10339506172839506	0.24347826086956523	0.05617283950617284	0.04448452058911933	0.13315299068229636	0.10309588217613466	0.056807935076645624
44	350	350	4.302236943425517	3365	565	392	2	569	343	191	0.22236301752013804	230	64	71	28	15	17	21	9	0	3	5	102	6241	694	342	1	898	673	314	109	52	16	392	44	0.11649331352154532	0.00510204081632653	0.16909361069836554	0.10193164933135215	0.3110720562390158	0.05676077265973254	0.05479891043102067	0.14388719756449286	0.10783528280724243	0.05031244992789617
